"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","#"
"C1,C_BAT1,C_decoupling2,C_LDO_IN1,C_LDO_OUT1","5","10uF","","","","Capacitor_SMD:C_0805_2012Metric","","1"
"C_BAT2,C_BATT1,C_decoupling1,C_IMU_DEC1,C_LDO_OUT2,C_MCP_DEC1,C_SHT_DEC1","7","100nF","","","","Capacitor_SMD:C_0402_1005Metric","","2"
"C_Delay1","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric","","3"
"D1","1","PRTR5V0U2X","","","","Package_TO_SOT_SMD:SOT-143","https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf","4"
"D_LED_CHG1","1","RED","","","","LED_SMD:LED_0402_1005Metric","","5"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","6"
"J2","1","JST-SH 2-Pin","","","","Connector_JST:JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal","","7"
"J3","1","Conn_01x10_Socket","","","","Connector_FFC-FPC:Molex_54548-1071_1x10-1MP_P0.5mm_Horizontal","","8"
"J4","1","Conn_01x03","","","","Connector_Wire:SolderWire-0.127sqmm_1x03_P3.7mm_D0.48mm_OD1mm","","9"
"J_DISP1","1","Conn_01x08","","","","Connector_FFC-FPC:Hirose_FH12-8S-0.5SH_1x08-1MP_P0.50mm_Horizontal","","10"
"J_POGO_RLD1","1","Conn_01x01","","","","TestPoint:TestPoint_Pad_D2.0mm","","11"
"R1","1","4.3k","","","","Resistor_SMD:R_0402_1005Metric","","12"
"RESET1,SW_BOOT1","2","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","","13"
"R_BATT_1,R_BATT_2","2","100k","","","","Resistor_SMD:R_0402_1005Metric","","14"
"R_I2C_SCL1,R_I2C_SDA1","2","4.7k","","","","Resistor_SMD:R_0402_1005Metric","","15"
"R_INT_PU1,R_MCP_RST1","2","10k","","","","Resistor_SMD:R_0402_1005Metric","","16"
"R_LED_CHG1","1","1k","","","","Resistor_SMD:R_0402_1005Metric","","17"
"R_Pull_Up_ESP1,R_Pull_Up_ESP2","2","10k","","","","Resistor_SMD:R_0805_2012Metric","","18"
"R_USB_CC1,R_USB_CC2","2","5.1k","","","","Resistor_SMD:R_0402_1005Metric","","19"
"U1","1","ESP32-C3-MINI-1","","","","custom:ESP32-C3-MINI-1","https://www.espressif.com/sites/default/files/documentation/esp32-c3-mini-1_datasheet_en.pdf","20"
"U2","1","MCP73831-2-OT","","","","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","21"
"U3","1","AP2112K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf","22"
"U4","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","23"
"U5","1","MCP23008-xSS","","","","Package_SO:SSOP-20_5.3x7.2mm_P0.65mm","http://ww1.microchip.com/downloads/en/DeviceDoc/MCP23008-MCP23S08-Data-Sheet-20001919F.pdf","24"
"U6","1","BMI160","","","","Package_LGA:Bosch_LGA-14_3x2.5mm_P0.5mm","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi160-ds000.pdf","25"
"U7","1","SHT30-DIS","","","","Sensor_Humidity:Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm","https://www.sensirion.com/fileadmin/user_upload/customers/sensirion/Dokumente/2_Humidity_Sensors/Datasheets/Sensirion_Humidity_Sensors_SHT3x_Datasheet_digital.pdf","26"
