"Designator","Footprint","Quantity","Value","LCSC Part #",
"C1, C_BAT1, C_DECOUPLING2, C_LDO_IN1, C_LDO_OUT1",805,5,"10uF","x",
"C_BAT2, C_BATT1, C_DECOUPLING1, C_IMU_DEC1, C_LDO_OUT2, C_MCP_DEC1, C_SHT_DEC1",402,7,"100nF","x",
"C_DELAY1",805,1,"1uF","x",
"D1","SOT-143",1,"PRTR5V0U2X",,"Farnell"
"D_LED_CHG1",402,1,"RED","x",
"J1","USB_C_Receptacle_HRO_TYPE-C-31-M-12",1,"USB_C_Receptacle_USB2.0_16P","x",
"J2","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",1,"JST-SH 2-Pin","x",
"J3","Molex_54548-1071_1x10-1MP_P0.5mm_Horizontal",1,"Conn_01x10_Socket","x",
"J4","SolderWire-0.127sqmm_1x03_P3.7mm_D0.48mm_OD1mm",1,"Conn_01x03","not needed",
"J_DISP1","Hirose_FH12-8S-0.5SH_1x08-1MP_P0.50mm_Horizontal",1,"Conn_01x08","not needed",
"J_POGO_RLD1","TestPoint_Pad_D2.0mm",1,"Conn_01x01","not needed. ",
"R1",402,1,"4.3k","x",
"RESET1, SW_BOOT1","SW_Push_1P1T_NO_CK_KMR2",2,"SW_Push","x",
"R_BATT_1, R_BATT_2",402,2,"100k","x",
"R_I2C_SCL1, R_I2C_SDA1",402,2,"4.7k","x",
"R_INT_PU1, R_MCP_RST1",402,2,"10k","x",
"R_LED_CHG1",402,1,"1k","x",
"R_PULL_UP_ESP1, R_PULL_UP_ESP2",805,2,"10k","x",
"R_USB_CC1, R_USB_CC2",402,2,"5.1k","x",
"U1","ESP32-C3-MINI-1",1,"ESP32-C3-MINI-1","x",
"U2","SOT-23-5",1,"MCP73831-2-OT","x",
"U3","SOT-23-5",1,"AP2112K-3.3","x",
"U4","SOT-23-6",1,"USBLC6-2SC6","x",
"U5","SSOP-20_5.3x7.2mm_P0.65mm",1,"MCP23008-xSS","x",
"U6","Bosch_LGA-14_3x2.5mm_P0.5mm",1,"BMI160","removed",
"U7","Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm",1,"SHT30-DIS","x",
