Designator,Mid X,Mid Y,Rotation,Layer
C1,201.5,-50.5,180.0,top
C_BAT1,198.0,-44.5,180.0,top
C_BAT2,198.0,-43.0,180.0,top
C_BATT1,192.31,-66.27,270.0,top
C_DECOUPLING1,189.63,-65.81,180.0,top
C_DECOUPLING2,186.95,-66.1,180.0,top
C_DELAY1,208.9,-54.2,90.0,top
C_IMU_DEC1,194.0,-50.15,270.0,top
C_LDO_IN1,212.2,-40.3,0.0,top
C_LDO_OUT1,202.0,-36.5,270.0,top
C_LDO_OUT2,203.5,-39.0,0.0,top
C_MCP_DEC1,200.2,-34.0,0.0,top
C_SHT_DEC1,214.99,-59.55,270.0,top
D1,199.6375,-47.5,90.0,top
D_LED_CHG1,203.775,-34.0,0.0,top
J1,212.2,-46.7,90.0,top
J2,195.1,-64.1,180.0,bottom
J3,186.675,-39.05,90.0,bottom
J4,204.7,-65.4,0.0,top
J_DISP1,186.05,-44.9,270.0,top
J_POGO_RLD1,183.9,-35.1,0.0,top
R1,204.9,-40.4,180.0,top
RESET1,213.2,-55.0,90.0,top
R_BATT_1,193.28,-66.27,90.0,top
R_BATT_2,191.37,-66.29,270.0,top
R_I2C_SCL1,189.65,-33.4,0.0,top
R_I2C_SDA1,188.8,-34.8,180.0,top
R_INT_PU1,197.84,-66.21,180.0,top
R_LED_CHG1,205.9,-34.0,180.0,top
R_MCP_RST1,188.8,-37.7,0.0,top
R_PULL_UP_ESP1,204.1,-57.7,180.0,top
R_PULL_UP_ESP2,206.9,-54.2,90.0,top
R_USB_CC1,205.9,-48.5,180.0,top
R_USB_CC2,205.8,-45.4,180.0,top
SW_BOOT1,205.2,-61.1,180.0,top
U1,189.5,-58.3,90.0,top
U2,202.8,-42.5,180.0,top
U3,205.6375,-36.55,0.0,top
U4,203.3,-46.95,270.0,top
U5,194.5,-37.3,270.0,top
U6,192.5,-47.5,90.0,top
U7,212.425,-59.65,0.0,top
